LDb-ULb-LUf-FUr-UFl.: [U, L u' L2 u2 L]
FUr-DLf-LUf-ULb-UFl.: [U, L d L2 d2 L]
UBr-BLd-URf-ULb-UFl.: [U, L2 f2 L f2 L]
UBr-BLd-URf-LUf-FUr.: [U, f2 L' u f2 L]
BUl-LBu-RUb-LUf-FUr.: [U, L2 b2 L b2 L]
BUl-LBu-RUb-ULb-UFl.: [U, b2 L' d' b2 L]
DLf-LUf-URf-UBr-FUr.: [U, L' R u R' L]
DLf-LUf-URf-UBr-FUr.: [U, R L' u R' L]
BUl-DRb-RUb-ULb-UFl.: [U, L' R d R' L]
BUl-DRb-RUb-ULb-UFl.: [U, R L' d R' L]
UBr-RDf-URf-LUf-FUr.: [U, L' R u' R' L]
UBr-RDf-URf-LUf-FUr.: [U, R L' u' R' L]
LDb-ULb-RUb-BUl-UFl.: [U, L' R d' R' L]
LDb-ULb-RUb-BUl-UFl.: [U, R L' d' R' L]
BRu-ULb-LUf-FUr-UFl.: [U, L u2 L2 u' L]
BUl-LBu-RUb-ULb-UFl.: [U, b2 L' b2 d' L]
FLu-DBl-RUb-BUl-LUf.: [U, R' B' u2 B R]
LFd-BDr-URf-UBr-ULb.: [U, R' B' d2 B R]
FRd-ULb-RUb-BUl-UFl.: [U, b2 R' b2 u R]
UBr-BUl-LFd-RUb-URf.: [U, R d2 R2 d R]
RUb-BUl-UBr-RDf-URf.: [U, R u' R2 u2 R]
UBr-BUl-DRb-RUb-URf.: [U, R d R2 d2 R]
RFu-LUf-RUb-BUl-FUr.: [U, R2 f2 R f2 R]
RFu-LUf-URf-UBr-FUr.: [U, f2 R' d' f2 R]
FRd-ULb-URf-UBr-UFl.: [U, R2 b2 R b2 R]
FRd-ULb-RUb-BUl-UFl.: [U, b2 R' u b2 R]
BUl-DRb-RUb-ULb-UFl.: [U, R' L u L' R]
BUl-DRb-RUb-ULb-UFl.: [U, L R' u L' R]
DLf-LUf-URf-UBr-FUr.: [U, R' L d L' R]
DLf-LUf-URf-UBr-FUr.: [U, L R' d L' R]
LDb-ULb-RUb-BUl-UFl.: [U, R' L u' L' R]
LDb-ULb-RUb-BUl-UFl.: [U, L R' u' L' R]
UBr-RDf-URf-LUf-FUr.: [U, R' L d' L' R]
UBr-RDf-URf-LUf-FUr.: [U, L R' d' L' R]
RUb-BUl-UBr-FLu-URf.: [U, R u2 R2 u' R]
